(2779,545)
(2780,546)
(2781,547)
(2782,548)
(2783,549)
(2784,551)
(2785,552)
(2786,553)
(2787,554)
(2788,555)
(2789,556)
(2790,557)
(2791,558)
(2792,559)
(2793,560)
(2794,561)
(2795,562)
(2796,563)
(2797,564)
(2798,565)
(2799,566)
(2800,572)
(2801,574)
(2802,575)
(2803,576)
(2804,577)
(2805,579)
(2806,580)
(2807,581)
(2808,583)
(2809,588)
(2810,590)
(2811,591)
(2812,592)
(2813,593)
(2814,594)
(2815,595)
(2816,596)
(2817,598)
(2818,599)
(2819,600)
(2820,601)
(2821,602)
(2822,603)
(2823,604)
(2824,605)
(2825,606)
(2826,608)
(2827,610)
(2828,611)
(2829,612)
(2830,613)
(2831,614)
(2832,615)
(2833,616)
(2834,617)
(2835,618)
(2836,619)
(2837,620)
(2838,622)
(2839,623)
(2840,624)
(2841,625)
(2842,626)
(2843,627)
(2844,628)
(2845,629)
(2846,630)
(2847,631)
(2848,632)
(2849,633)
(2850,634)
(2851,635)
(2852,636)
(2853,637)
(2854,638)
(2855,639)
(2856,640)
(2857,641)
(2858,642)
(2859,643)
(2860,645)
(2861,646)
(2862,647)
(2863,648)
(2864,649)
(2865,650)
(2866,651)
(2867,652)
(2868,653)
(2869,655)
(2870,656)
(2871,657)
(2872,659)
(2873,661)
(2874,662)
(2875,664)
(2876,665)
(2877,666)
(2878,667)
(2879,668)
(2880,669)
(2881,670)
(2882,671)
(2883,672)
(2884,673)
(2885,674)
(2886,675)
(2887,676)
(2888,677)
(2889,678)
(2890,679)
(2891,680)
(2892,682)
(2893,683)
(2894,684)
(2895,685)
(2896,687)
(2897,688)
(2898,689)
(2899,691)
(2900,692)
(2901,693)
(2902,694)
(2903,695)
(2904,696)
(2905,697)
(2906,698)
(2907,700)
(2908,701)
(2909,702)
(2910,703)
(2911,704)
(2912,705)
(2913,706)
(2914,709)
(2915,710)
(2916,711)
(2917,712)
(2918,713)
(2919,714)
(2920,715)
(2921,716)
(2922,717)
(2923,718)
(2924,719)
(2925,720)
(2926,721)
(2927,722)
(2928,723)
(2929,724)
(2930,725)
(2931,726)
(2932,727)
(2933,728)
(2934,731)
(2935,732)
(2936,733)
(2937,734)
(2938,735)
(2939,737)
(2940,738)
(2941,739)
(2942,740)
(2943,741)
(2944,742)
(2945,743)
(2946,744)
(2947,745)
(2948,746)
(2949,748)
(2950,750)
(2951,751)
(2952,753)
(2953,754)
(2954,755)
(2955,756)
(2956,757)
(2957,759)
(2958,760)
(2959,761)
(2960,762)
(2961,763)
(2962,764)
(2963,765)
(2964,766)
(2965,768)
(2966,769)
(2967,770)
(2968,771)
(2969,772)
(2970,773)
(2971,774)
(2972,776)
(2973,777)
(2974,778)
(2975,779)
(2976,780)
(2977,782)
(2978,783)
(2979,787)
(2980,788)
(2981,789)
(2982,792)
(2983,793)
(2984,795)
(2985,798)
(2986,799)
(2987,149)
(2988,150)
(2989,151)
(2990,152)
(2991,180)
(2992,276)
(2993,277)
(2994,278)
(2995,279)
(2996,289)
(2997,403)
(2998,412)
(2999,413)
(3000,416)
(3001,423)
(3002,424)
(3003,425)
(3004,426)
(3005,432)
(3006,440)
(3007,443)
(3008,485)
(3009,488)
(3010,499)
(3011,509)
(3012,510)
(3013,515)
(3014,516)
(3015,537)
(3016,538)
(3017,539)
(3018,567)
(3019,568)
(3020,569)
(3021,570)
(3022,571)
(3023,573)
(3024,582)
(3025,584)
(3026,585)
(3027,586)
(3028,587)
(3029,589)
(3030,607)
(3031,609)
(3032,621)
(3033,644)
(3034,654)
(3035,658)
(3036,690)
(3037,699)
(3038,707)
(3039,736)
(3040,749)
(3041,752)
(3042,758)
(3043,767)
(3044,781)
(3045,784)
(3046,785)
(3047,786)
(3048,794)
(3049,796)
(3050,797)
